------------------------------------------------------------
Loading the dataset...
------------------------------------------------------------
SVM
0.859,kernel=linear,C=0.125,SVM
0.859,kernel=linear,C=0.5,SVM
0.859,kernel=linear,C=2.0,SVM
0.859,kernel=linear,C=8.0,SVM
0.859,kernel=linear,C=32.0,SVM
0.859,kernel=linear,C=128.0,SVM
0.859,kernel=linear,C=512.0,SVM
0.859,kernel=linear,C=2048.0,SVM
0.859,kernel=linear,C=8192.0,SVM
0.859,kernel=linear,C=32768.0,SVM
0.446,kernel=sigmoid,C=0.125,gamma=3.0517578125e-05,SVM
0.455,kernel=sigmoid,C=0.125,gamma=0.0001220703125,SVM
0.498,kernel=sigmoid,C=0.125,gamma=0.00048828125,SVM
0.410,kernel=sigmoid,C=0.125,gamma=0.001953125,SVM
0.294,kernel=sigmoid,C=0.125,gamma=0.0078125,SVM
0.276,kernel=sigmoid,C=0.125,gamma=0.03125,SVM
0.320,kernel=sigmoid,C=0.125,gamma=0.125,SVM
0.320,kernel=sigmoid,C=0.125,gamma=0.5,SVM
0.320,kernel=sigmoid,C=0.125,gamma=2.0,SVM
0.320,kernel=sigmoid,C=0.125,gamma=8.0,SVM
0.476,kernel=sigmoid,C=0.5,gamma=3.0517578125e-05,SVM
0.512,kernel=sigmoid,C=0.5,gamma=0.0001220703125,SVM
0.483,kernel=sigmoid,C=0.5,gamma=0.00048828125,SVM
0.388,kernel=sigmoid,C=0.5,gamma=0.001953125,SVM
0.332,kernel=sigmoid,C=0.5,gamma=0.0078125,SVM
0.349,kernel=sigmoid,C=0.5,gamma=0.03125,SVM
0.378,kernel=sigmoid,C=0.5,gamma=0.125,SVM
0.367,kernel=sigmoid,C=0.5,gamma=0.5,SVM
0.339,kernel=sigmoid,C=0.5,gamma=2.0,SVM
0.346,kernel=sigmoid,C=0.5,gamma=8.0,SVM
0.512,kernel=sigmoid,C=2.0,gamma=3.0517578125e-05,SVM
0.520,kernel=sigmoid,C=2.0,gamma=0.0001220703125,SVM
0.469,kernel=sigmoid,C=2.0,gamma=0.00048828125,SVM
0.427,kernel=sigmoid,C=2.0,gamma=0.001953125,SVM
0.338,kernel=sigmoid,C=2.0,gamma=0.0078125,SVM
0.371,kernel=sigmoid,C=2.0,gamma=0.03125,SVM
0.367,kernel=sigmoid,C=2.0,gamma=0.125,SVM
0.420,kernel=sigmoid,C=2.0,gamma=0.5,SVM
0.388,kernel=sigmoid,C=2.0,gamma=2.0,SVM
0.357,kernel=sigmoid,C=2.0,gamma=8.0,SVM
0.528,kernel=sigmoid,C=8.0,gamma=3.0517578125e-05,SVM
0.516,kernel=sigmoid,C=8.0,gamma=0.0001220703125,SVM
0.466,kernel=sigmoid,C=8.0,gamma=0.00048828125,SVM
0.424,kernel=sigmoid,C=8.0,gamma=0.001953125,SVM
0.338,kernel=sigmoid,C=8.0,gamma=0.0078125,SVM
0.371,kernel=sigmoid,C=8.0,gamma=0.03125,SVM
0.374,kernel=sigmoid,C=8.0,gamma=0.125,SVM
0.353,kernel=sigmoid,C=8.0,gamma=0.5,SVM
0.389,kernel=sigmoid,C=8.0,gamma=2.0,SVM
0.357,kernel=sigmoid,C=8.0,gamma=8.0,SVM
0.541,kernel=sigmoid,C=32.0,gamma=3.0517578125e-05,SVM
0.511,kernel=sigmoid,C=32.0,gamma=0.0001220703125,SVM
0.467,kernel=sigmoid,C=32.0,gamma=0.00048828125,SVM
0.416,kernel=sigmoid,C=32.0,gamma=0.001953125,SVM
0.334,kernel=sigmoid,C=32.0,gamma=0.0078125,SVM
0.370,kernel=sigmoid,C=32.0,gamma=0.03125,SVM
